scenario_id,scenario_type,source_a_transaction_id,source_b_transaction_id,source_a_line_id,source_b_line_id,expected_match_method,expected_reconciliation_status,expected_review_required,expected_notes
SCN-0001,CLEAN_EXACT_MATCH,TXN-A-000001,TXN-B-000001,TXN-A-000001-L01,TXN-B-000001-L02,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0002,CLEAN_EXACT_MATCH,TXN-A-000002,TXN-B-000002,TXN-A-000002-L03,TXN-B-000002-L04,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0003,CLEAN_EXACT_MATCH,TXN-A-000003,TXN-B-000003,TXN-A-000003-L05,TXN-B-000003-L06,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0004,CLEAN_EXACT_MATCH,TXN-A-000004,TXN-B-000004,TXN-A-000004-L07,TXN-B-000004-L08,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0005,CLEAN_EXACT_MATCH,TXN-A-000005,TXN-B-000005,TXN-A-000005-L09,TXN-B-000005-L10,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0006,CLEAN_EXACT_MATCH,TXN-A-000006,TXN-B-000006,TXN-A-000006-L11,TXN-B-000006-L12,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0007,CLEAN_EXACT_MATCH,TXN-A-000007,TXN-B-000007,TXN-A-000007-L13,TXN-B-000007-L14,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0008,CLEAN_EXACT_MATCH,TXN-A-000008,TXN-B-000008,TXN-A-000008-L15,TXN-B-000008-L16,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0009,CLEAN_EXACT_MATCH,TXN-A-000009,TXN-B-000009,TXN-A-000009-L17,TXN-B-000009-L18,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0010,CLEAN_EXACT_MATCH,TXN-A-000010,TXN-B-000010,TXN-A-000010-L19,TXN-B-000010-L20,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0011,CLEAN_EXACT_MATCH,TXN-A-000011,TXN-B-000011,TXN-A-000011-L21,TXN-B-000011-L22,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
SCN-0012,CLEAN_EXACT_MATCH,TXN-A-000012,TXN-B-000012,TXN-A-000012-L23,TXN-B-000012-L24,EXACT_PRIMARY_ID,MATCHED,N,Exact match on all fields
