product_id,product_code,barcode,product_name,generic_name,brand,category,strength,reference_unit_price
PRD-0001,PC-ZEN0001,2000000000107,ZENITH All Purpose Cleaner 10 IN,All Purpose Cleaner 10 IN,ZENITH,Household,10 IN,34.59
PRD-0002,PC-AUR0002,2000000000206,AURORA All Purpose Cleaner 30 CM,All Purpose Cleaner 30 CM,AURORA,Household,30 CM,44.72
PRD-0003,PC-NEX0003,2000000000305,NEXUS All Purpose Cleaner 250 ML,All Purpose Cleaner 250 ML,NEXUS,Household,250 ML,116.68
PRD-0004,PC-ZEN0004,2000000000404,ZENITH Glass Spray 750 ML,Glass Spray 750 ML,ZENITH,Household,750 ML,100.37
PRD-0005,PC-AUR0005,2000000000503,AURORA Glass Spray 500 G,Glass Spray 500 G,AURORA,Household,500 G,111.21
PRD-0006,PC-NEX0006,2000000000602,NEXUS Glass Spray 9 V,Glass Spray 9 V,NEXUS,Household,9 V,84.09
PRD-0007,PC-ZEN0007,2000000000701,ZENITH Dish Liquid 5000 MAH,Dish Liquid 5000 MAH,ZENITH,Household,5000 MAH,57.78
PRD-0008,PC-AUR0008,2000000000800,AURORA Dish Liquid 10000 MAH,Dish Liquid 10000 MAH,AURORA,Household,10000 MAH,111.86
PRD-0009,PC-NEX0009,2000000000909,NEXUS Dish Liquid 10 W,Dish Liquid 10 W,NEXUS,Household,10 W,102.05
PRD-0010,PC-ZEN0010,2000000001005,ZENITH Laundry Detergent 1.5 V,Laundry Detergent 1.5 V,ZENITH,Household,1.5 V,25.3
PRD-0011,PC-AUR0011,2000000001104,AURORA Laundry Detergent 2000 MAH,Laundry Detergent 2000 MAH,AURORA,Household,2000 MAH,97.97
PRD-0012,PC-NEX0012,2000000001203,NEXUS Laundry Detergent 3 V,Laundry Detergent 3 V,NEXUS,Household,3 V,22.27
PRD-0013,PC-ZEN0013,2000000001302,ZENITH Fabric Softener 1 L,Fabric Softener 1 L,ZENITH,Household,1 L,9.65
PRD-0014,PC-AUR0014,2000000001401,AURORA Fabric Softener 250 MG,Fabric Softener 250 MG,AURORA,Household,250 MG,111.99
PRD-0015,PC-NEX0015,2000000001500,NEXUS Fabric Softener 200 G,Fabric Softener 200 G,NEXUS,Household,200 G,47.38
PRD-0016,PC-ZEN0016,2000000001609,ZENITH Surface Wipes 60 CM,Surface Wipes 60 CM,ZENITH,Household,60 CM,58.14
PRD-0017,PC-AUR0017,2000000001708,AURORA Surface Wipes 9 V,Surface Wipes 9 V,AURORA,Household,9 V,80.73
PRD-0018,PC-NEX0018,2000000001807,NEXUS Surface Wipes 500 MG,Surface Wipes 500 MG,NEXUS,Household,500 MG,39.31
PRD-0019,PC-ZEN0019,2000000001906,ZENITH Air Freshener 45 CM,Air Freshener 45 CM,ZENITH,Household,45 CM,38.75
PRD-0020,PC-AUR0020,2000000002002,AURORA Air Freshener 200 G,Air Freshener 200 G,AURORA,Household,200 G,104.22
PRD-0021,PC-NEX0021,2000000002101,NEXUS Air Freshener 30 CM,Air Freshener 30 CM,NEXUS,Household,30 CM,13.9
PRD-0022,PC-ZEN0022,2000000002200,ZENITH Floor Polish 2000 MAH,Floor Polish 2000 MAH,ZENITH,Household,2000 MAH,5.92
PRD-0023,PC-AUR0023,2000000002309,AURORA Floor Polish 100 MG,Floor Polish 100 MG,AURORA,Household,100 MG,52.05
PRD-0024,PC-NEX0024,2000000002408,NEXUS Floor Polish 100 MG,Floor Polish 100 MG,NEXUS,Household,100 MG,75.71
PRD-0025,PC-ZEN0025,2000000002507,ZENITH Ballpoint Pen 1 KG,Ballpoint Pen 1 KG,ZENITH,Office Supplies,1 KG,37.08
PRD-0026,PC-AUR0026,2000000002606,AURORA Ballpoint Pen 250 ML,Ballpoint Pen 250 ML,AURORA,Office Supplies,250 ML,26.93
PRD-0027,PC-NEX0027,2000000002705,NEXUS Ballpoint Pen 500 ML,Ballpoint Pen 500 ML,NEXUS,Office Supplies,500 ML,49.53
PRD-0028,PC-ZEN0028,2000000002804,ZENITH Highlighter Set 500 ML,Highlighter Set 500 ML,ZENITH,Office Supplies,500 ML,113.36
PRD-0029,PC-AUR0029,2000000002903,AURORA Highlighter Set 9 V,Highlighter Set 9 V,AURORA,Office Supplies,9 V,26.14
PRD-0030,PC-NEX0030,2000000003009,NEXUS Highlighter Set 12 IN,Highlighter Set 12 IN,NEXUS,Office Supplies,12 IN,69.53
PRD-0031,PC-ZEN0031,2000000003108,ZENITH Binder Clip Box 3 V,Binder Clip Box 3 V,ZENITH,Office Supplies,3 V,57.71
PRD-0032,PC-AUR0032,2000000003207,AURORA Binder Clip Box 3 V,Binder Clip Box 3 V,AURORA,Office Supplies,3 V,78.97
PRD-0033,PC-NEX0033,2000000003306,NEXUS Binder Clip Box 45 CM,Binder Clip Box 45 CM,NEXUS,Office Supplies,45 CM,21.96
PRD-0034,PC-ZEN0034,2000000003405,ZENITH Stapler 100 MG,Stapler 100 MG,ZENITH,Office Supplies,100 MG,79.94
PRD-0035,PC-AUR0035,2000000003504,AURORA Stapler 10 W,Stapler 10 W,AURORA,Office Supplies,10 W,17.34
PRD-0036,PC-NEX0036,2000000003603,NEXUS Stapler 1.5 L,Stapler 1.5 L,NEXUS,Office Supplies,1.5 L,113.16
PRD-0037,PC-ZEN0037,2000000003702,ZENITH Desk Organizer 5 W,Desk Organizer 5 W,ZENITH,Office Supplies,5 W,11.53
PRD-0038,PC-AUR0038,2000000003801,AURORA Desk Organizer 2000 MAH,Desk Organizer 2000 MAH,AURORA,Office Supplies,2000 MAH,28.05
PRD-0039,PC-NEX0039,2000000003900,NEXUS Desk Organizer 250 ML,Desk Organizer 250 ML,NEXUS,Office Supplies,250 ML,90.18
PRD-0040,PC-ZEN0040,2000000004006,ZENITH File Folder Pack 750 ML,File Folder Pack 750 ML,ZENITH,Office Supplies,750 ML,112.35
PRD-0041,PC-AUR0041,2000000004105,AURORA File Folder Pack 9 V,File Folder Pack 9 V,AURORA,Office Supplies,9 V,59.18
PRD-0042,PC-NEX0042,2000000004204,NEXUS File Folder Pack 500 G,File Folder Pack 500 G,NEXUS,Office Supplies,500 G,68.11
PRD-0043,PC-ZEN0043,2000000004303,ZENITH Whiteboard Marker 20 W,Whiteboard Marker 20 W,ZENITH,Office Supplies,20 W,56.59
