transaction_id,branch_id,employee_id,transaction_date,transaction_type,total_amount,source
TXN-A-000001,BR-009,EMP-0031,2026-03-05,SALE,721.11,SOURCE_A
TXN-A-000002,BR-005,EMP-0018,2026-02-07,SALE,679.06,SOURCE_A
TXN-A-000003,BR-002,EMP-0015,2026-03-11,SALE,168.27,SOURCE_A
TXN-A-000004,BR-004,EMP-0032,2026-04-12,SALE,142.84,SOURCE_A
TXN-A-000005,BR-010,EMP-0007,2026-04-10,SALE,41.8,SOURCE_A
TXN-A-000006,BR-007,EMP-0031,2026-04-07,SALE,138.94,SOURCE_A
TXN-A-000007,BR-007,EMP-0017,2026-02-08,SALE,218.78,SOURCE_A
TXN-A-000008,BR-007,EMP-0013,2026-03-10,SALE,30.88,SOURCE_A
TXN-A-000009,BR-002,EMP-0019,2026-02-13,SALE,575.76,SOURCE_A
TXN-A-000010,BR-003,EMP-0021,2026-02-24,SALE,912.43,SOURCE_A
TXN-A-000011,BR-009,EMP-0013,2026-01-09,SALE,131.48,SOURCE_A
TXN-A-000012,BR-006,EMP-0029,2026-01-21,SALE,28.08,SOURCE_A
TXN-A-000013,BR-008,EMP-0023,2026-02-21,SALE,679.6,SOURCE_A
TXN-A-000014,BR-010,EMP-0007,2026-04-11,SALE,209.93,SOURCE_A
TXN-A-000015,BR-007,EMP-0030,2026-03-06,SALE,86.45,SOURCE_A
TXN-A-000016,BR-004,EMP-0015,2026-02-02,SALE,203.59,SOURCE_A
TXN-A-000017,BR-001,EMP-0020,2026-03-14,SALE,52.21,SOURCE_A
TXN-A-000018,BR-006,EMP-0010,2026-04-20,SALE,209.44,SOURCE_A
TXN-A-000019,BR-004,EMP-0007,2026-03-20,SALE,602.36,SOURCE_A
TXN-A-000020,BR-008,EMP-0028,2026-01-19,SALE,116.89,SOURCE_A
TXN-A-000021,BR-005,EMP-0030,2026-01-25,SALE,298.3,SOURCE_A
TXN-A-000022,BR-006,EMP-0003,2026-01-04,SALE,65.03,SOURCE_A
TXN-A-000023,BR-009,EMP-0009,2026-02-26,SALE,61.52,SOURCE_A
TXN-A-000024,BR-003,EMP-0014,2026-01-04,SALE,25.28,SOURCE_A
TXN-A-000025,BR-010,EMP-0028,2026-03-21,SALE,26.33,SOURCE_A
TXN-A-000026,BR-004,EMP-0026,2026-02-01,SALE,478.94,SOURCE_A
TXN-A-000027,BR-007,EMP-0008,2026-03-06,SALE,1075.18,SOURCE_A
TXN-A-000028,BR-009,EMP-0019,2026-03-09,SALE,241.04,SOURCE_A
TXN-A-000029,BR-003,EMP-0013,2026-02-04,SALE,126.39,SOURCE_A
TXN-A-000030,BR-002,EMP-0018,2026-04-09,SALE,618.82,SOURCE_A
TXN-A-000031,BR-003,EMP-0022,2026-03-26,SALE,793.37,SOURCE_A
TXN-A-000032,BR-009,EMP-0001,2026-03-11,SALE,568.76,SOURCE_A
TXN-A-000033,BR-007,EMP-0006,2026-04-07,SALE,241.24,SOURCE_A
TXN-A-000034,BR-006,EMP-0012,2026-03-14,SALE,589.78,SOURCE_A
TXN-A-000035,BR-003,EMP-0028,2026-03-08,SALE,58.44,SOURCE_A
TXN-A-000036,BR-009,EMP-0018,2026-01-24,SALE,718.88,SOURCE_A
TXN-A-000037,BR-006,EMP-0002,2026-02-22,SALE,398.64,SOURCE_A
TXN-A-000038,BR-006,EMP-0028,2026-02-23,SALE,408.75,SOURCE_A
TXN-A-000039,BR-009,EMP-0013,2026-01-03,SALE,79.17,SOURCE_A
TXN-A-000040,BR-001,EMP-0032,2026-02-27,SALE,350.06,SOURCE_A
TXN-A-000041,BR-002,EMP-0002,2026-04-02,SALE,513.12,SOURCE_A
TXN-A-000042,BR-002,EMP-0018,2026-03-16,SALE,132.34,SOURCE_A
TXN-A-000043,BR-007,EMP-0026,2026-03-11,SALE,872.22,SOURCE_A
TXN-A-000044,BR-008,EMP-0011,2026-01-12,SALE,267.52,SOURCE_A
TXN-A-000045,BR-003,EMP-0013,2026-03-07,SALE,650.45,SOURCE_A
TXN-A-000046,BR-005,EMP-0022,2026-01-16,SALE,121.81,SOURCE_A
TXN-A-000047,BR-010,EMP-0021,2026-02-09,SALE,583.1,SOURCE_A
TXN-A-000048,BR-001,EMP-0023,2026-02-12,SALE,131.2,SOURCE_A
TXN-A-000049,BR-003,EMP-0029,2026-03-28,SALE,543.41,SOURCE_A
TXN-A-000050,BR-003,EMP-0024,2026-03-25,SALE,764.47,SOURCE_A
TXN-A-000051,BR-009,EMP-0028,2026-02-10,SALE,1119.74,SOURCE_A
TXN-A-000052,BR-004,EMP-0013,2026-02-10,SALE,448.21,SOURCE_A
TXN-A-000053,BR-002,EMP-0023,2026-01-08,SALE,503.03,SOURCE_A
TXN-A-000054,BR-004,EMP-0005,2026-03-28,SALE,985.42,SOURCE_A
TXN-A-000055,BR-004,EMP-0003,2026-01-24,SALE,555.57,SOURCE_A
TXN-A-000056,BR-009,EMP-0010,2026-04-23,SALE,59.34,SOURCE_A
TXN-A-000057,BR-001,EMP-0023,2026-01-04,SALE,438.63,SOURCE_A
TXN-A-000058,BR-010,EMP-0007,2026-01-23,SALE,617.76,SOURCE_A
TXN-A-000059,BR-010,EMP-0005,2026-03-22,SALE,285.43,SOURCE_A
TXN-A-000060,BR-007,EMP-0002,2026-02-23,SALE,291.63,SOURCE_A
TXN-A-000061,BR-003,EMP-0018,2026-02-18,SALE,122.35,SOURCE_A
TXN-A-000062,BR-008,EMP-0028,2026-03-14,SALE,416.57,SOURCE_A
TXN-A-000063,BR-009,EMP-0028,2026-02-24,SALE,223.86,SOURCE_A
TXN-A-000064,BR-006,EMP-0009,2026-04-03,SALE,237.25,SOURCE_A
TXN-A-000065,BR-001,EMP-0030,2026-03-15,SALE,70.97,SOURCE_A
TXN-A-000066,BR-008,EMP-0006,2026-04-15,SALE,302.43,SOURCE_A
TXN-A-000067,BR-006,EMP-0006,2026-02-15,SALE,422.26,SOURCE_A
TXN-A-000068,BR-001,EMP-0013,2026-02-22,SALE,17.09,SOURCE_A
TXN-A-000069,BR-008,EMP-0030,2026-03-12,SALE,36.86,SOURCE_A
TXN-A-000070,BR-007,EMP-0001,2026-02-26,SALE,140.73,SOURCE_A
TXN-A-000071,BR-003,EMP-0012,2026-04-07,SALE,53.58,SOURCE_A
TXN-A-000072,BR-008,EMP-0028,2026-01-26,SALE,154.87,SOURCE_A
TXN-A-000073,BR-001,EMP-0023,2026-03-06,SALE,239.25,SOURCE_A
TXN-A-000074,BR-009,EMP-0024,2026-01-09,SALE,889.1,SOURCE_A
TXN-A-000075,BR-010,EMP-0015,2026-01-04,SALE,422.3,SOURCE_A
TXN-A-000076,BR-007,EMP-0002,2026-02-23,SALE,64.77,SOURCE_A
TXN-A-000077,BR-003,EMP-0023,2026-03-04,SALE,64.85,SOURCE_A
TXN-A-000078,BR-010,EMP-0005,2026-02-02,SALE,854.62,SOURCE_A
TXN-A-000079,BR-008,EMP-0002,2026-01-07,SALE,530.93,SOURCE_A
TXN-A-000080,BR-007,EMP-0028,2026-01-11,SALE,214.18,SOURCE_A
TXN-A-000081,BR-004,EMP-0025,2026-04-06,SALE,569.76,SOURCE_A
TXN-A-000082,BR-008,EMP-0019,2026-03-28,SALE,967.5,SOURCE_A
TXN-A-000083,BR-001,EMP-0016,2026-02-24,SALE,94.16,SOURCE_A
TXN-A-000084,BR-008,EMP-0021,2026-04-14,SALE,118.81,SOURCE_A
TXN-A-000085,BR-003,EMP-0013,2026-02-03,SALE,817.39,SOURCE_A
TXN-A-000086,BR-001,EMP-0024,2026-01-04,SALE,99.2,SOURCE_A
TXN-A-000087,BR-003,EMP-0022,2026-04-08,SALE,619.02,SOURCE_A
TXN-A-000088,BR-001,EMP-0010,2026-04-10,SALE,205.61,SOURCE_A
TXN-A-000089,BR-002,EMP-0023,2026-02-12,SALE,405.47,SOURCE_A
TXN-A-000090,BR-005,EMP-0004,2026-01-25,SALE,84.35,SOURCE_A
TXN-A-000091,BR-003,EMP-0026,2026-03-16,SALE,107.67,SOURCE_A
TXN-A-000092,BR-009,EMP-0014,2026-04-15,SALE,127.69,SOURCE_A
TXN-A-000093,BR-003,EMP-0024,2026-03-06,SALE,114.75,SOURCE_A
TXN-A-000094,BR-008,EMP-0014,2026-03-03,SALE,164.61,SOURCE_A
TXN-A-000095,BR-010,EMP-0011,2026-01-16,SALE,723.98,SOURCE_A
TXN-A-000096,BR-010,EMP-0029,2026-01-22,SALE,714.08,SOURCE_A
TXN-A-000097,BR-004,EMP-0026,2026-03-07,SALE,580.54,SOURCE_A
TXN-A-000098,BR-003,EMP-0004,2026-03-17,SALE,33.06,SOURCE_A
TXN-A-000099,BR-009,EMP-0022,2026-02-11,SALE,192.91,SOURCE_A
TXN-A-000100,BR-008,EMP-0028,2026-03-24,SALE,682.45,SOURCE_A
TXN-A-000101,BR-007,EMP-0003,2026-03-14,SALE,170.5,SOURCE_A
TXN-A-000102,BR-001,EMP-0002,2026-02-20,SALE,532.11,SOURCE_A
TXN-A-000103,BR-006,EMP-0031,2026-04-25,SALE,147.91,SOURCE_A
TXN-A-000104,BR-003,EMP-0010,2026-04-17,SALE,912.55,SOURCE_A
TXN-A-000105,BR-001,EMP-0024,2026-03-13,SALE,63.55,SOURCE_A
TXN-A-000106,BR-007,EMP-0032,2026-03-11,SALE,287.04,SOURCE_A
TXN-A-000107,BR-002,EMP-0008,2026-04-26,SALE,690.11,SOURCE_A
TXN-A-000108,BR-003,EMP-0001,2026-01-07,SALE,598.31,SOURCE_A
TXN-A-000109,BR-002,EMP-0029,2026-04-25,SALE,290.38,SOURCE_A
TXN-A-000110,BR-005,EMP-0006,2026-01-10,SALE,775.95,SOURCE_A
TXN-A-000111,BR-008,EMP-0027,2026-02-08,SALE,176.51,SOURCE_A
TXN-A-000112,BR-003,EMP-0005,2026-03-18,SALE,57.74,SOURCE_A
