line_id,transaction_id,product_id,product_code,barcode,product_name,generic_name,quantity,unit_price,amount,reference_id,source
TXN-A-000001-L01,TXN-A-000001,PRD-0099,PC-NEX0099,2000000009902,NEXUS Cutting Board 500 ML,Cutting Board 500 ML,6.39,112.85,721.11,TXN-B-000001,SOURCE_A
TXN-A-000002-L03,TXN-A-000002,PRD-0039,PC-NEX0039,2000000003900,NEXUS Desk Organizer 250 ML,Desk Organizer 250 ML,7.53,90.18,679.06,TXN-B-000002,SOURCE_A
TXN-A-000003-L05,TXN-A-000003,PRD-0106,PC-ZEN0106,2000000010601,ZENITH Spatula Set 1 KG,Spatula Set 1 KG,7.1,23.7,168.27,TXN-B-000003,SOURCE_A
TXN-A-000004-L07,TXN-A-000004,PRD-0077,PC-AUR0077,2000000007700,AURORA Shampoo 1 KG,Shampoo 1 KG,1.34,106.6,142.84,TXN-B-000004,SOURCE_A
TXN-A-000005-L09,TXN-A-000005,PRD-0022,PC-ZEN0022,2000000002200,ZENITH Floor Polish 2000 MAH,Floor Polish 2000 MAH,7.06,5.92,41.8,TXN-B-000005,SOURCE_A
TXN-A-000006-L11,TXN-A-000006,PRD-0079,PC-ZEN0079,2000000007908,ZENITH Body Wash 200 G,Body Wash 200 G,1.87,74.3,138.94,TXN-B-000006,SOURCE_A
TXN-A-000007-L13,TXN-A-000007,PRD-0139,PC-ZEN0139,2000000013909,ZENITH Eraser Pack 500 G,Eraser Pack 500 G,4.82,45.39,218.78,TXN-B-000007,SOURCE_A
TXN-A-000008-L15,TXN-A-000008,PRD-0094,PC-ZEN0094,2000000009407,ZENITH Lotion 10000 MAH,Lotion 10000 MAH,3.1,9.96,30.88,TXN-B-000008,SOURCE_A
TXN-A-000009-L17,TXN-A-000009,PRD-0078,PC-NEX0078,2000000007809,NEXUS Shampoo 500 ML,Shampoo 500 ML,4.86,118.47,575.76,TXN-B-000009,SOURCE_A
TXN-A-000010-L19,TXN-A-000010,PRD-0138,PC-NEX0138,2000000013800,NEXUS Scissors 500 MG,Scissors 500 MG,9.47,96.35,912.43,TXN-B-000010,SOURCE_A
TXN-A-000011-L21,TXN-A-000011,PRD-0002,PC-AUR0002,2000000000206,AURORA All Purpose Cleaner 30 CM,All Purpose Cleaner 30 CM,2.94,44.72,131.48,TXN-B-000011,SOURCE_A
TXN-A-000012-L23,TXN-A-000012,PRD-0076,PC-ZEN0076,2000000007601,ZENITH Shampoo 200 G,Shampoo 200 G,2.29,12.26,28.08,TXN-B-000012,SOURCE_A
TXN-A-000013-L25,TXN-A-000013,PRD-0148,PC-ZEN0148,2000000014807,ZENITH Wrench Set 30 CM,Wrench Set 30 CM,5.81,116.97,679.6,TXN-B-000013,SOURCE_A
TXN-A-000014-L27,TXN-A-000014,PRD-0084,PC-NEX0084,2000000008400,NEXUS Toothpaste 15 W,Toothpaste 15 W,6.35,33.06,209.93,TXN-B-000014,SOURCE_A
TXN-A-000015-L29,TXN-A-000015,PRD-0094,PC-ZEN0094,2000000009407,ZENITH Lotion 10000 MAH,Lotion 10000 MAH,8.68,9.96,86.45,TXN-B-000015,SOURCE_A
TXN-A-000016-L31,TXN-A-000016,PRD-0008,PC-AUR0008,2000000000800,AURORA Dish Liquid 10000 MAH,Dish Liquid 10000 MAH,1.82,111.86,203.59,TXN-B-000016,SOURCE_A
TXN-A-000017-L33,TXN-A-000017,PRD-0056,PC-AUR0056,2000000005607,AURORA Phone Case 20 W,Phone Case 20 W,3.13,16.68,52.21,TXN-B-000017,SOURCE_A
TXN-A-000018-L35,TXN-A-000018,PRD-0044,PC-AUR0044,2000000004402,AURORA Whiteboard Marker 12 IN,Whiteboard Marker 12 IN,5.38,38.93,209.44,TXN-B-000018,SOURCE_A
TXN-A-000019-L37,TXN-A-000019,PRD-0129,PC-NEX0129,2000000012902,NEXUS Colored Pencil Set 750 ML,Colored Pencil Set 750 ML,6.35,94.86,602.36,TXN-B-000019,SOURCE_A
TXN-A-000020-L39,TXN-A-000020,PRD-0010,PC-ZEN0010,2000000001005,ZENITH Laundry Detergent 1.5 V,Laundry Detergent 1.5 V,4.62,25.3,116.89,TXN-B-000020,SOURCE_A
TXN-A-000021-L41,TXN-A-000021,PRD-0124,PC-ZEN0124,2000000012407,ZENITH Sketch Pad 500 MG,Sketch Pad 500 MG,6.28,47.5,298.3,TXN-B-000021,SOURCE_A
TXN-A-000022-L43,TXN-A-000022,PRD-0012,PC-NEX0012,2000000001203,NEXUS Laundry Detergent 3 V,Laundry Detergent 3 V,2.92,22.27,65.03,TXN-B-000022,SOURCE_A
TXN-A-000023-L45,TXN-A-000023,PRD-0098,PC-AUR0098,2000000009803,AURORA Cutting Board 10 IN,Cutting Board 10 IN,3.6,17.09,61.52,TXN-B-000023,SOURCE_A
TXN-A-000024-L47,TXN-A-000024,PRD-0013,PC-ZEN0013,2000000001302,ZENITH Fabric Softener 1 L,Fabric Softener 1 L,2.62,9.65,25.28,TXN-B-000024,SOURCE_A
TXN-A-000025-L49,TXN-A-000025,PRD-0071,PC-AUR0071,2000000007106,AURORA Mouse Pad 50 G,Mouse Pad 50 G,1.52,17.32,26.33,TXN-B-000025,SOURCE_A
TXN-A-000026-L51,TXN-A-000026,PRD-0104,PC-AUR0104,2000000010403,AURORA Measuring Cup 10000 MAH,Measuring Cup 10000 MAH,7.0,68.42,478.94,TXN-B-000026,SOURCE_A
TXN-A-000027-L53,TXN-A-000027,PRD-0095,PC-AUR0095,2000000009506,AURORA Lotion 1 KG,Lotion 1 KG,9.17,117.25,1075.18,TXN-B-000027,SOURCE_A
TXN-A-000028-L55,TXN-A-000028,PRD-0002,PC-AUR0002,2000000000206,AURORA All Purpose Cleaner 30 CM,All Purpose Cleaner 30 CM,5.39,44.72,241.04,TXN-B-000028,SOURCE_A
TXN-A-000029-L57,TXN-A-000029,PRD-0135,PC-NEX0135,2000000013503,NEXUS Glue Stick 5000 MAH,Glue Stick 5000 MAH,4.53,27.9,126.39,TXN-B-000029,SOURCE_A
TXN-A-000030-L59,TXN-A-000030,PRD-0130,PC-ZEN0130,2000000013008,ZENITH Ruler Set 45 CM,Ruler Set 45 CM,6.81,90.87,618.82,TXN-B-000030,SOURCE_A
TXN-A-000031-L61,TXN-A-000031,PRD-0082,PC-ZEN0082,2000000008202,ZENITH Toothpaste 500 MG,Toothpaste 500 MG,8.59,92.36,793.37,TXN-B-000031,SOURCE_A
TXN-A-000032-L63,TXN-A-000032,PRD-0030,PC-NEX0030,2000000003009,NEXUS Highlighter Set 12 IN,Highlighter Set 12 IN,8.18,69.53,568.76,TXN-B-000032,SOURCE_A
TXN-A-000033-L65,TXN-A-000033,PRD-0117,PC-NEX0117,2000000011707,NEXUS Can Opener 5 W,Can Opener 5 W,3.99,60.46,241.24,TXN-B-000033,SOURCE_A
TXN-A-000034-L67,TXN-A-000034,PRD-0104,PC-AUR0104,2000000010403,AURORA Measuring Cup 10000 MAH,Measuring Cup 10000 MAH,8.62,68.42,589.78,TXN-B-000034,SOURCE_A
TXN-A-000035-L69,TXN-A-000035,PRD-0010,PC-ZEN0010,2000000001005,ZENITH Laundry Detergent 1.5 V,Laundry Detergent 1.5 V,2.31,25.3,58.44,TXN-B-000035,SOURCE_A
TXN-A-000036-L71,TXN-A-000036,PRD-0120,PC-NEX0120,2000000012001,NEXUS Peeler 30 CM,Peeler 30 CM,7.5,95.85,718.88,TXN-B-000036,SOURCE_A
TXN-A-000037-L73,TXN-A-000037,PRD-0061,PC-ZEN0061,2000000006109,ZENITH Battery Pack 200 G,Battery Pack 200 G,6.22,64.09,398.64,TXN-B-000037,SOURCE_A
TXN-A-000038-L75,TXN-A-000038,PRD-0125,PC-AUR0125,2000000012506,AURORA Sketch Pad 1.5 V,Sketch Pad 1.5 V,3.97,102.96,408.75,TXN-B-000038,SOURCE_A
TXN-A-000039-L77,TXN-A-000039,PRD-0046,PC-ZEN0046,2000000004600,ZENITH Tape Dispenser 250 ML,Tape Dispenser 250 ML,2.85,27.78,79.17,TXN-B-000039,SOURCE_A
TXN-A-000040-L79,TXN-A-000040,PRD-0117,PC-NEX0117,2000000011707,NEXUS Can Opener 5 W,Can Opener 5 W,5.79,60.46,350.06,TXN-B-000040,SOURCE_A
