transaction_id,branch_id,employee_id,transaction_date,transaction_type,total_amount,source
TXN-B-000001,BR-009,EMP-0031,2026-03-05,SALE,721.11,SOURCE_B
TXN-B-000002,BR-005,EMP-0018,2026-02-07,SALE,679.06,SOURCE_B
TXN-B-000003,BR-002,EMP-0015,2026-03-11,SALE,168.27,SOURCE_B
TXN-B-000004,BR-004,EMP-0032,2026-04-12,SALE,142.84,SOURCE_B
TXN-B-000005,BR-010,EMP-0007,2026-04-10,SALE,41.8,SOURCE_B
TXN-B-000006,BR-007,EMP-0031,2026-04-07,SALE,138.94,SOURCE_B
TXN-B-000007,BR-007,EMP-0017,2026-02-08,SALE,218.78,SOURCE_B
TXN-B-000008,BR-007,EMP-0013,2026-03-10,SALE,30.88,SOURCE_B
TXN-B-000009,BR-002,EMP-0019,2026-02-13,SALE,575.76,SOURCE_B
TXN-B-000010,BR-003,EMP-0021,2026-02-24,SALE,912.43,SOURCE_B
TXN-B-000011,BR-009,EMP-0013,2026-01-09,SALE,131.48,SOURCE_B
TXN-B-000012,BR-006,EMP-0029,2026-01-21,SALE,28.08,SOURCE_B
TXN-B-000013,BR-008,EMP-0023,2026-02-21,SALE,679.6,SOURCE_B
TXN-B-000014,BR-010,EMP-0007,2026-04-11,SALE,209.93,SOURCE_B
TXN-B-000015,BR-007,EMP-0030,2026-03-06,SALE,86.45,SOURCE_B
TXN-B-000016,BR-004,EMP-0015,2026-02-02,SALE,203.59,SOURCE_B
TXN-B-000017,BR-001,EMP-0020,2026-03-14,SALE,52.21,SOURCE_B
TXN-B-000018,BR-006,EMP-0010,2026-04-20,SALE,209.44,SOURCE_B
TXN-B-000019,BR-004,EMP-0007,2026-03-20,SALE,602.36,SOURCE_B
TXN-B-000020,BR-008,EMP-0028,2026-01-19,SALE,116.89,SOURCE_B
TXN-B-000021,BR-005,EMP-0030,2026-01-25,SALE,298.3,SOURCE_B
TXN-B-000022,BR-006,EMP-0003,2026-01-04,SALE,65.03,SOURCE_B
TXN-B-000023,BR-009,EMP-0009,2026-02-26,SALE,61.52,SOURCE_B
TXN-B-000024,BR-003,EMP-0014,2026-01-04,SALE,25.28,SOURCE_B
TXN-B-000025,BR-010,EMP-0028,2026-03-21,SALE,26.33,SOURCE_B
TXN-B-000026,BR-004,EMP-0026,2026-02-01,SALE,478.94,SOURCE_B
TXN-B-000027,BR-007,EMP-0008,2026-03-06,SALE,1075.18,SOURCE_B
TXN-B-000028,BR-009,EMP-0019,2026-03-09,SALE,241.04,SOURCE_B
TXN-B-000029,BR-003,EMP-0013,2026-02-04,SALE,126.39,SOURCE_B
TXN-B-000030,BR-002,EMP-0018,2026-04-09,SALE,618.82,SOURCE_B
TXN-B-000031,BR-003,EMP-0022,2026-03-26,SALE,793.37,SOURCE_B
TXN-B-000032,BR-009,EMP-0001,2026-03-11,SALE,568.76,SOURCE_B
TXN-B-000033,BR-007,EMP-0006,2026-04-07,SALE,241.24,SOURCE_B
TXN-B-000034,BR-006,EMP-0012,2026-03-14,SALE,589.78,SOURCE_B
TXN-B-000035,BR-003,EMP-0028,2026-03-08,SALE,58.44,SOURCE_B
TXN-B-000036,BR-009,EMP-0018,2026-01-24,SALE,718.88,SOURCE_B
TXN-B-000037,BR-006,EMP-0002,2026-02-22,SALE,398.64,SOURCE_B
TXN-B-000038,BR-006,EMP-0028,2026-02-23,SALE,408.75,SOURCE_B
