line_id,transaction_id,product_id,product_code,barcode,product_name,generic_name,quantity,unit_price,amount,reference_id,source
TXN-B-000001-L02,TXN-B-000001,PRD-0099,PC-NEX0099,2000000009902,NEXUS Cutting Board 500 ML,Cutting Board 500 ML,6.39,112.85,721.11,TXN-B-000001,SOURCE_B
TXN-B-000002-L04,TXN-B-000002,PRD-0039,PC-NEX0039,2000000003900,NEXUS Desk Organizer 250 ML,Desk Organizer 250 ML,7.53,90.18,679.06,TXN-B-000002,SOURCE_B
TXN-B-000003-L06,TXN-B-000003,PRD-0106,PC-ZEN0106,2000000010601,ZENITH Spatula Set 1 KG,Spatula Set 1 KG,7.1,23.7,168.27,TXN-B-000003,SOURCE_B
TXN-B-000004-L08,TXN-B-000004,PRD-0077,PC-AUR0077,2000000007700,AURORA Shampoo 1 KG,Shampoo 1 KG,1.34,106.6,142.84,TXN-B-000004,SOURCE_B
TXN-B-000005-L10,TXN-B-000005,PRD-0022,PC-ZEN0022,2000000002200,ZENITH Floor Polish 2000 MAH,Floor Polish 2000 MAH,7.06,5.92,41.8,TXN-B-000005,SOURCE_B
TXN-B-000006-L12,TXN-B-000006,PRD-0079,PC-ZEN0079,2000000007908,ZENITH Body Wash 200 G,Body Wash 200 G,1.87,74.3,138.94,TXN-B-000006,SOURCE_B
TXN-B-000007-L14,TXN-B-000007,PRD-0139,PC-ZEN0139,2000000013909,ZENITH Eraser Pack 500 G,Eraser Pack 500 G,4.82,45.39,218.78,TXN-B-000007,SOURCE_B
TXN-B-000008-L16,TXN-B-000008,PRD-0094,PC-ZEN0094,2000000009407,ZENITH Lotion 10000 MAH,Lotion 10000 MAH,3.1,9.96,30.88,TXN-B-000008,SOURCE_B
TXN-B-000009-L18,TXN-B-000009,PRD-0078,PC-NEX0078,2000000007809,NEXUS Shampoo 500 ML,Shampoo 500 ML,4.86,118.47,575.76,TXN-B-000009,SOURCE_B
TXN-B-000010-L20,TXN-B-000010,PRD-0138,PC-NEX0138,2000000013800,NEXUS Scissors 500 MG,Scissors 500 MG,9.47,96.35,912.43,TXN-B-000010,SOURCE_B
TXN-B-000011-L22,TXN-B-000011,PRD-0002,PC-AUR0002,2000000000206,AURORA All Purpose Cleaner 30 CM,All Purpose Cleaner 30 CM,2.94,44.72,131.48,TXN-B-000011,SOURCE_B
TXN-B-000012-L24,TXN-B-000012,PRD-0076,PC-ZEN0076,2000000007601,ZENITH Shampoo 200 G,Shampoo 200 G,2.29,12.26,28.08,TXN-B-000012,SOURCE_B
TXN-B-000013-L26,TXN-B-000013,PRD-0148,PC-ZEN0148,2000000014807,ZENITH Wrench Set 30 CM,Wrench Set 30 CM,5.81,116.97,679.6,TXN-B-000013,SOURCE_B
TXN-B-000014-L28,TXN-B-000014,PRD-0084,PC-NEX0084,2000000008400,NEXUS Toothpaste 15 W,Toothpaste 15 W,6.35,33.06,209.93,TXN-B-000014,SOURCE_B
TXN-B-000015-L30,TXN-B-000015,PRD-0094,PC-ZEN0094,2000000009407,ZENITH Lotion 10000 MAH,Lotion 10000 MAH,8.68,9.96,86.45,TXN-B-000015,SOURCE_B
TXN-B-000016-L32,TXN-B-000016,PRD-0008,PC-AUR0008,2000000000800,AURORA Dish Liquid 10000 MAH,Dish Liquid 10000 MAH,1.82,111.86,203.59,TXN-B-000016,SOURCE_B
TXN-B-000017-L34,TXN-B-000017,PRD-0056,PC-AUR0056,2000000005607,AURORA Phone Case 20 W,Phone Case 20 W,3.13,16.68,52.21,TXN-B-000017,SOURCE_B
TXN-B-000018-L36,TXN-B-000018,PRD-0044,PC-AUR0044,2000000004402,AURORA Whiteboard Marker 12 IN,Whiteboard Marker 12 IN,5.38,38.93,209.44,TXN-B-000018,SOURCE_B
TXN-B-000019-L38,TXN-B-000019,PRD-0129,PC-NEX0129,2000000012902,NEXUS Colored Pencil Set 750 ML,Colored Pencil Set 750 ML,6.35,94.86,602.36,TXN-B-000019,SOURCE_B
TXN-B-000020-L40,TXN-B-000020,PRD-0010,PC-ZEN0010,2000000001005,ZENITH Laundry Detergent 1.5 V,Laundry Detergent 1.5 V,4.62,25.3,116.89,TXN-B-000020,SOURCE_B
TXN-B-000021-L42,TXN-B-000021,PRD-0124,PC-ZEN0124,2000000012407,ZENITH Sketch Pad 500 MG,Sketch Pad 500 MG,6.28,47.5,298.3,TXN-B-000021,SOURCE_B
