line_key,anomaly_type,severity,description,reconciliation_status
TXN-A-001257-L2513,HIGH_VALUE_OUTLIER,HIGH,Amount 24837.49 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-001325-L2649,HIGH_VALUE_OUTLIER,HIGH,Amount 20379.64 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-001494-L2987,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001507-L3013,HIGH_VALUE_OUTLIER,HIGH,Amount 15554.97 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-001516-L3091,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001516-L3091,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001528-L3103,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001528-L3103,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001553-L3128,HIGH_VALUE_OUTLIER,HIGH,Amount 26309.72 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-001563-L3138,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001565-L3140,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001589-L3164,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001603-L3178,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001605-L3180,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001605-L3180,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001616-L3192,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001616-L3192,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001625-L3218,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001625-L3218,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001636-L3252,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001641-L3266,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001645-L3279,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001645-L3279,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001646-L3282,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001646-L3282,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001650-L3294,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001652-L3299,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001652-L3299,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001661-L3327,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001661-L3327,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001664-L3335,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001664-L3335,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001686-L3386,HIGH_VALUE_OUTLIER,HIGH,Amount 52877.90 exceeds 5.0x population mean 337.71,QUANTITY_AND_AMOUNT_DIFFERENCE
TXN-A-001719-L3452,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001730-L3474,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001730-L3474,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001735-L3484,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001752-L3518,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001752-L3518,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001760-L3534,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001762-L3538,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
TXN-A-001768-L3550,LOW_CONFIDENCE_MATCH,MEDIUM,Match confidence 70.0 below threshold 75.0,UNRESOLVED
TXN-A-001768-L3550,UNRESOLVED_TRANSACTION,MEDIUM,No matching path found for this transaction line,UNRESOLVED
