table,field,issue_type,severity,description,record_key
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002001,TXN-A-002001
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002001,TXN-A-002001
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002002,TXN-A-002002
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002002,TXN-A-002002
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002003,TXN-A-002003
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002003,TXN-A-002003
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002004,TXN-A-002004
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002004,TXN-A-002004
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002005,TXN-A-002005
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002005,TXN-A-002005
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002006,TXN-A-002006
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002006,TXN-A-002006
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002007,TXN-A-002007
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002007,TXN-A-002007
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002008,TXN-A-002008
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002008,TXN-A-002008
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002009,TXN-A-002009
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002009,TXN-A-002009
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002010,TXN-A-002010
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002010,TXN-A-002010
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002011,TXN-A-002011
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002011,TXN-A-002011
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002012,TXN-A-002012
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002012,TXN-A-002012
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002013,TXN-A-002013
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002013,TXN-A-002013
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002014,TXN-A-002014
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002014,TXN-A-002014
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002015,TXN-A-002015
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002015,TXN-A-002015
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002016,TXN-A-002016
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002016,TXN-A-002016
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002017,TXN-A-002017
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002017,TXN-A-002017
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002018,TXN-A-002018
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002018,TXN-A-002018
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002019,TXN-A-002019
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002019,TXN-A-002019
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002020,TXN-A-002020
source_a_headers,transaction_id,DUPLICATE_KEY,ERROR,Duplicate transaction_id value: TXN-A-002020,TXN-A-002020
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002021-L01,TXN-A-002021-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002021-L01,TXN-A-002021-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002022-L01,TXN-A-002022-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002022-L01,TXN-A-002022-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002023-L01,TXN-A-002023-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002023-L01,TXN-A-002023-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002024-L01,TXN-A-002024-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002024-L01,TXN-A-002024-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002025-L01,TXN-A-002025-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002025-L01,TXN-A-002025-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002026-L01,TXN-A-002026-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002026-L01,TXN-A-002026-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002027-L01,TXN-A-002027-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002027-L01,TXN-A-002027-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002028-L01,TXN-A-002028-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002028-L01,TXN-A-002028-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002029-L01,TXN-A-002029-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002029-L01,TXN-A-002029-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002030-L01,TXN-A-002030-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002030-L01,TXN-A-002030-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002031-L01,TXN-A-002031-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002031-L01,TXN-A-002031-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002032-L01,TXN-A-002032-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002032-L01,TXN-A-002032-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002033-L01,TXN-A-002033-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002033-L01,TXN-A-002033-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002034-L01,TXN-A-002034-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002034-L01,TXN-A-002034-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002035-L01,TXN-A-002035-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002035-L01,TXN-A-002035-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002036-L01,TXN-A-002036-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002036-L01,TXN-A-002036-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002037-L01,TXN-A-002037-L01
source_a_lines,line_id,DUPLICATE_KEY,ERROR,Duplicate line_id value: TXN-A-002037-L01,TXN-A-002037-L01
