total_lines,matched_lines,exception_lines,match_rate_pct,exception_rate_pct,total_absolute_exposure,unresolved_exposure,average_confidence,review_required_count,review_rate_pct,branch_id
243,114,123,46.91,50.62,141657.44,14299.72,89.76,125,51.44,BR-001
262,137,120,52.29,45.80,103546.06,10353.26,89.60,121,46.18,BR-002
240,126,106,52.50,44.17,25485.78,8635.88,88.04,107,44.58,BR-003
248,123,117,49.60,47.18,71725.54,11346.10,89.92,118,47.58,BR-004
230,106,117,46.09,50.87,112099.65,63705.60,91.19,117,50.87,BR-005
256,123,122,48.05,47.66,87999.04,23922.61,90.88,123,48.05,BR-006
239,115,115,48.12,48.12,68578.32,34084.73,89.53,115,48.12,BR-007
225,95,123,42.22,54.67,105880.35,42608.49,84.83,123,54.67,BR-008
250,116,126,46.40,50.40,73489.90,34400.44,88.56,127,50.80,BR-009
231,115,105,49.78,45.45,28150.78,12987.90,89.32,106,45.89,BR-010
