source_a_line_id,source_a_transaction_id,source_b_line_id,source_b_transaction_id,match_method,confidence_score,identity_status,quantity_status,price_status,amount_status,reconciliation_status,review_required,quantity_difference,price_difference,amount_difference,source_a_product_id,source_b_product_id,source_a_product_name,source_b_product_name,source_a_amount,source_b_amount,source_a_quantity,source_b_quantity,source_a_unit_price,source_b_unit_price,signed_exposure,absolute_exposure,quantity_exposure,price_exposure,amount_exposure,unresolved_exposure,review_exposure
TXN-A-000001-L01,TXN-A-000001,TXN-B-000001-L02,TXN-B-000001,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0099,PRD-0099,NEXUS Cutting Board 500 ML,NEXUS Cutting Board 500 ML,721.11,721.11,6.39,6.39,112.85,112.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000002-L03,TXN-A-000002,TXN-B-000002-L04,TXN-B-000002,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0039,PRD-0039,NEXUS Desk Organizer 250 ML,NEXUS Desk Organizer 250 ML,679.06,679.06,7.53,7.53,90.18,90.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000003-L05,TXN-A-000003,TXN-B-000003-L06,TXN-B-000003,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0106,PRD-0106,ZENITH Spatula Set 1 KG,ZENITH Spatula Set 1 KG,168.27,168.27,7.10,7.10,23.70,23.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000004-L07,TXN-A-000004,TXN-B-000004-L08,TXN-B-000004,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0077,PRD-0077,AURORA Shampoo 1 KG,AURORA Shampoo 1 KG,142.84,142.84,1.34,1.34,106.60,106.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000005-L09,TXN-A-000005,TXN-B-000005-L10,TXN-B-000005,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0022,PRD-0022,ZENITH Floor Polish 2000 MAH,ZENITH Floor Polish 2000 MAH,41.80,41.80,7.06,7.06,5.92,5.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000006-L11,TXN-A-000006,TXN-B-000006-L12,TXN-B-000006,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0079,PRD-0079,ZENITH Body Wash 200 G,ZENITH Body Wash 200 G,138.94,138.94,1.87,1.87,74.30,74.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000007-L13,TXN-A-000007,TXN-B-000007-L14,TXN-B-000007,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0139,PRD-0139,ZENITH Eraser Pack 500 G,ZENITH Eraser Pack 500 G,218.78,218.78,4.82,4.82,45.39,45.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000008-L15,TXN-A-000008,TXN-B-000008-L16,TXN-B-000008,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0094,PRD-0094,ZENITH Lotion 10000 MAH,ZENITH Lotion 10000 MAH,30.88,30.88,3.10,3.10,9.96,9.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000009-L17,TXN-A-000009,TXN-B-000009-L18,TXN-B-000009,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0078,PRD-0078,NEXUS Shampoo 500 ML,NEXUS Shampoo 500 ML,575.76,575.76,4.86,4.86,118.47,118.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000010-L19,TXN-A-000010,TXN-B-000010-L20,TXN-B-000010,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0138,PRD-0138,NEXUS Scissors 500 MG,NEXUS Scissors 500 MG,912.43,912.43,9.47,9.47,96.35,96.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000011-L21,TXN-A-000011,TXN-B-000011-L22,TXN-B-000011,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0002,PRD-0002,AURORA All Purpose Cleaner 30 CM,AURORA All Purpose Cleaner 30 CM,131.48,131.48,2.94,2.94,44.72,44.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000012-L23,TXN-A-000012,TXN-B-000012-L24,TXN-B-000012,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0076,PRD-0076,ZENITH Shampoo 200 G,ZENITH Shampoo 200 G,28.08,28.08,2.29,2.29,12.26,12.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000013-L25,TXN-A-000013,TXN-B-000013-L26,TXN-B-000013,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0148,PRD-0148,ZENITH Wrench Set 30 CM,ZENITH Wrench Set 30 CM,679.60,679.60,5.81,5.81,116.97,116.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000014-L27,TXN-A-000014,TXN-B-000014-L28,TXN-B-000014,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0084,PRD-0084,NEXUS Toothpaste 15 W,NEXUS Toothpaste 15 W,209.93,209.93,6.35,6.35,33.06,33.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000015-L29,TXN-A-000015,TXN-B-000015-L30,TXN-B-000015,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0094,PRD-0094,ZENITH Lotion 10000 MAH,ZENITH Lotion 10000 MAH,86.45,86.45,8.68,8.68,9.96,9.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000016-L31,TXN-A-000016,TXN-B-000016-L32,TXN-B-000016,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0008,PRD-0008,AURORA Dish Liquid 10000 MAH,AURORA Dish Liquid 10000 MAH,203.59,203.59,1.82,1.82,111.86,111.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000017-L33,TXN-A-000017,TXN-B-000017-L34,TXN-B-000017,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0056,PRD-0056,AURORA Phone Case 20 W,AURORA Phone Case 20 W,52.21,52.21,3.13,3.13,16.68,16.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000018-L35,TXN-A-000018,TXN-B-000018-L36,TXN-B-000018,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0044,PRD-0044,AURORA Whiteboard Marker 12 IN,AURORA Whiteboard Marker 12 IN,209.44,209.44,5.38,5.38,38.93,38.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000019-L37,TXN-A-000019,TXN-B-000019-L38,TXN-B-000019,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0129,PRD-0129,NEXUS Colored Pencil Set 750 ML,NEXUS Colored Pencil Set 750 ML,602.36,602.36,6.35,6.35,94.86,94.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000020-L39,TXN-A-000020,TXN-B-000020-L40,TXN-B-000020,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0010,PRD-0010,ZENITH Laundry Detergent 1.5 V,ZENITH Laundry Detergent 1.5 V,116.89,116.89,4.62,4.62,25.30,25.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000021-L41,TXN-A-000021,TXN-B-000021-L42,TXN-B-000021,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0124,PRD-0124,ZENITH Sketch Pad 500 MG,ZENITH Sketch Pad 500 MG,298.30,298.30,6.28,6.28,47.50,47.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000022-L43,TXN-A-000022,TXN-B-000022-L44,TXN-B-000022,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0012,PRD-0012,NEXUS Laundry Detergent 3 V,NEXUS Laundry Detergent 3 V,65.03,65.03,2.92,2.92,22.27,22.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000023-L45,TXN-A-000023,TXN-B-000023-L46,TXN-B-000023,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0098,PRD-0098,AURORA Cutting Board 10 IN,AURORA Cutting Board 10 IN,61.52,61.52,3.60,3.60,17.09,17.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000024-L47,TXN-A-000024,TXN-B-000024-L48,TXN-B-000024,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0013,PRD-0013,ZENITH Fabric Softener 1 L,ZENITH Fabric Softener 1 L,25.28,25.28,2.62,2.62,9.65,9.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000025-L49,TXN-A-000025,TXN-B-000025-L50,TXN-B-000025,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0071,PRD-0071,AURORA Mouse Pad 50 G,AURORA Mouse Pad 50 G,26.33,26.33,1.52,1.52,17.32,17.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000026-L51,TXN-A-000026,TXN-B-000026-L52,TXN-B-000026,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0104,PRD-0104,AURORA Measuring Cup 10000 MAH,AURORA Measuring Cup 10000 MAH,478.94,478.94,7.00,7.00,68.42,68.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000027-L53,TXN-A-000027,TXN-B-000027-L54,TXN-B-000027,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0095,PRD-0095,AURORA Lotion 1 KG,AURORA Lotion 1 KG,1075.18,1075.18,9.17,9.17,117.25,117.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TXN-A-000028-L55,TXN-A-000028,TXN-B-000028-L56,TXN-B-000028,EXACT_PRIMARY_ID,100.00,IDENTITY_MATCHED,QUANTITY_MATCHED,PRICE_MATCHED,AMOUNT_MATCHED,MATCHED,N,0.00,0.00,0.00,PRD-0002,PRD-0002,AURORA All Purpose Cleaner 30 CM,AURORA All Purpose Cleaner 30 CM,241.04,241.04,5.39,5.39,44.72,44.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00
